AMELAジャパン株式会社,https://imitsu.jp/service/323757/,システム開発、オフショア開発,100人,https://amela.co.jp,2年,600万円
株式会社モンスターラボ,https://imitsu.jp/service/140148/,システム開発,1200人,https://monstar-lab.com/dc/app-refferal/?utm_source=Imitsu&utm_medium=referral,2006年,1000万以上〜※案件規模による
株式会社レリパ（RELIPA JSC),https://imitsu.jp/service/141624/,オフショア開発・受託開発・ラボ型開発・システム開発,65人,https://relipasoft.com/,2016年,６００万円
株式会社whitecanvas,https://imitsu.jp/service/383264/,株式会社whitecanvas,21人,https://whitecanvas.jp/,2年,150万円~
atma株式会社,https://imitsu.jp/service/230732/,atma,13人,https://www.atma.co.jp,2016年,300万円～
株式会社ツチノコテクノロジー,https://imitsu.jp/service/271436/,ツチノコテクノロジー,3人,https://tutinoko.tech/,2020年,80万円〜
株式会社hunny,https://imitsu.jp/service/329844/,株式会社hunny,44人,http://hunny-inc.jp/,2016年,10000000
メディアボックス株式会社,https://imitsu.jp/service/227283/,メディアボックス株式会社,7人,https://mediaboxcp.com/,2017年,1000万円
株式会社エッグシステム,https://imitsu.jp/service/157582/,株式会社エッグシステム,1人,https://eggsystem.co.jp/,2017年,〜200万円
株式会社テコテック,https://imitsu.jp/service/238137/,システム開発,100人,https://tecotec.co.jp/,2007年,1000万円以上の規模の開発を得意としておりますが応相談となります。
株式会社キュリオシティ,https://imitsu.jp/service/329413/,キュリオシティ,10人,http://www.curiosity.vc/,2013年,100〜3000万円
株式会社ハートビートシステムズ,https://imitsu.jp/service/128283/,クラウド型　各種業務システム,4人,https://www.heartbeat-systems.co.jp/,2012年,100万円～1000万円
クロスクローバ株式会社,https://imitsu.jp/service/130039/,クロスクローバ株式会社,8人,https://www.crossclover.jp/,2008年,200～400万
合同会社 Nekologic,https://imitsu.jp/service/246391/,Nekologic,5人,https://neko-logic.com/,2017年,プロジェクトによって異なる
株式会社Gizumo,https://imitsu.jp/service/316114/,株式会社Gizumo,320人,http://gizumo-inc.jp/,2015年,最適: 150万円〜
株式会社伸和トータルエンジニアリング,https://imitsu.jp/service/137828/,伸和トータルエンジニアリング,20人,https://www.shinwa-totaleng.co.jp/,1987年,１万～
SEモバイル・アンド・オンライン株式会社,https://imitsu.jp/service/129060/,SEモバイル・アンド・オンライン株式会社,30人,http://www.semo.co.jp/,2006年,500万円〜
VNEXT JAPAN 株式会社,https://imitsu.jp/service/228753/,ウェブシステム開発,350人,https://vnext.vn/,2008年,""
STJ Global Partners合同会社,https://imitsu.jp/service/404308/,STJ Global Partners,70人,https://eastgate-software.com/,2014年,"$100,000"
オン・デマンド・ワン株式会社,https://imitsu.jp/service/329606/,オン・デマンド・ワン,8人,https://www.ondemandone.com/,2009年,""
株式会社エイ・エヌ・エス,https://imitsu.jp/service/98541/,エイ・エヌ・エス,47人,https://ans-net.co.jp/,1989年,要問い合わせ
株式会社grasys,https://imitsu.jp/service/322493/,株式会社ｇｒａｓｙｓ,40人,https://www.grasys.io/,2014年,300万円〜
株式会社ライフグラム,https://imitsu.jp/service/332181/,ライフグラム,5人,https://lifegram.ltd/,2020年,都度お見積（1人月80万円）
株式会社MagicPlus,https://imitsu.jp/service/158275/,株式会社MagicPlus,32人,http://magic-plus.net/,2014年,100万～
NewIT株式会社,https://imitsu.jp/service/159990/,ウェブ・システム開発（ベトナムオフショア開発任意）,10人,http://newit.co.jp/,2018年,100万円～
株式会社コアソフト,https://imitsu.jp/service/129126/,コアソフト,105人,https://www.coresoft-net.co.jp,2000年,30万～
株式会社Nextat,https://imitsu.jp/service/137606/,株式会社Nextat,8人,https://nextat.co.jp/,2013年,案件による
株式会社アイソプラ,https://imitsu.jp/service/99273/,アイソプラ,70人,https://isopra.co.jp/,2015年,""
株式会社オプスイン,https://imitsu.jp/service/132790/,オプスイン,7人,http://ops-in.com/,2016年,100~3000万円
株式会社MOTOCLE,https://imitsu.jp/service/225513/,株式会社MOTOCLE,10人,http://www.motocle.com/,2012年,""
ウィソフト株式会社,https://imitsu.jp/service/405963/,ウィソフト,15人,https://wesoft.co.jp/,2020年,""
株式会社ひけしや,https://imitsu.jp/service/331527/,システム開発、オフショア開発、,42人,http://hikesiya.co.jp/,19年,500万円～(※開発内容によりご相談ください）
株式会社スイートスポット,https://imitsu.jp/service/406412/,スイートスポット,5人,https://www.sweetspot.co.jp/,2006年,システム開発　100万～：ホームページ制作　10万～
株式会社テクノモバイル,https://imitsu.jp/service/98116/,株式会社テクノモバイル,150人,http://www.tcmobile.jp/,2006年,要問合せ
Tokyo Techies 株式会社,https://imitsu.jp/service/332175/,Tokyo Techies 株式会社,30人,https://tokyotechies.com/,2017年,""
株式会社アンビシャス,https://imitsu.jp/service/323884/,株式会社アンビシャス,13人,https://www.ambi-tious.com,2013年,応相談
株式会社Lance Digital Strategy,https://imitsu.jp/service/331297/,Lance Digital Strategy,22人,https://lance-digital-strategy.com/,2020年,300万円～
株式会社SOTATEK JAPAN,https://imitsu.jp/service/136732/,Web/Mobileシステム開発,500人,https://sotatek.jp/,2019年,要問い合わせ
キャレット合同会社,https://imitsu.jp/service/332179/,ITコンサルティング 開発 運用,10人,https://caretllc.com/,2018年,"・アプリ制作：400万円～
・自社パッケージ：初期10万円〜配信系のアプリ作成が可能"
株式会社ジェイオーシーネットワーク,https://imitsu.jp/service/128258/,ジェイオーシーネットワーク,10人,https://www.joc-network.co.jp/,2004年,""
株式会社スプレッド,https://imitsu.jp/service/127794/,株式会社スプレッド,20人,http://www.spread-net.co.jp/,1995年,"・SEクラス：65万円～
・PGクラス：40万円～"
株式会社LifeArcSystem,https://imitsu.jp/service/128457/,自社パッケージを活用した低価格・高品質クラウド型業務管理システム／ネットショップの開発,55人,https://www.lifearcsystem.co.jp/,2011年,50万～500万
株式会社Activate Data,https://imitsu.jp/service/322353/,株式会社Ａｃｔｉｖａｔｅ Ｄａｔａ,1人,http://activate-data.com/,2018年,50～500万
WITHPROJECTS株式会社,https://imitsu.jp/service/152704/,ＷＩＴＨＰＲＯＪＥＣＴＳ株式会社,10人,https://www.withprojects.co.jp/,2019年,"【DX】
パッケージツール（月額）：2万6,000円～

【web制作】
短いLP：10万円〜
大規模サイト：800万円

【システム開発】
小規模：70万〜
業務関連・決済システムなど：要問い合わせ"
株式会社Mt.SQUARE,https://imitsu.jp/service/406194/,株式会社Mt.SQUARE,40人,https://mt-square.co.jp/,2015年,要問い合わせ
株式会社グリーンウェイズ,https://imitsu.jp/service/134632/,株式会社グリーンウェイズ,100人,http://www.greenways.jp/,2012年,５０万円～
株式会社アリスタイル,https://imitsu.jp/service/98556/,アリスタイル,21人,http://www.alistyle.jp/,2010年,""
株式会社コンサルリンク,https://imitsu.jp/service/248379/,ITコンサルティング、各種ソフトウェア設計・開発、ソフトウェア導入支援,34人,https://www.consallink.co.jp/,2017年,300～5000万
サンダルワークス,https://imitsu.jp/service/406321/,サンダルワークス,2人,https://sandal.works/,2013年,100万-1000万
株式会社ジェイオンライン,https://imitsu.jp/service/128041/,株式会社ジェイオンライン,12人,http://j-online.ne.jp/,2004年,"予約システム「OPEN／CLOSE」：初期費用5万2,500円・月額費用1万500円～"
株式会社Interakt,https://imitsu.jp/service/329830/,株式会社Interakt,36人,https://interakt.jp/,2017年,3000000
株式会社 Hexabase,https://imitsu.jp/service/224895/,Hexabase,15人,https://www.hexabase.com/,2016年,""
株式会社Lei Hau'oli,https://imitsu.jp/service/152925/,株式会社Lei Hau'oli,70人,https://www.leihauoli.com/,2008年,"・LP（キャンペーンページ）制作：30万円～
・コーポレートサイト制作：100万円～
・システム開発：要問い合わせ
・アプリ開発：要問い合わせ"
株式会社NEX-GEN,https://imitsu.jp/service/247268/,株式会社NEX-GEN,170人,https://nexgen-global.com/,2014年,"・ERPシステム導入支援サービス：500万円～
・WEBアプリケーション開発：300万円～
・モバイルアプリケーション開発：100万円～
・セキュリティ診断サービス：200万円～
・AI・機械学習サービス：200万円～
・クラウド・インフラサービス：100万円～
・運用保守サポートサービス：35万円～"
株式会社ジェイテックジャパン,https://imitsu.jp/service/330399/,ジェイテックジャパン,24人,https://www.jtechs.com/,2008年,""
株式会社grinleap,https://imitsu.jp/service/406088/,アプリ・WEBシステム開発,21人,https://grinleap.co.jp/,2014年,応相談
バークリー・ジャパン株式会社,https://imitsu.jp/service/238264/,バークリー・ジャパン,35人,https://www.varcly.co.jp/,2019年,"100万円～1,000万円"
株式会社フロンティアポート,https://imitsu.jp/service/128697/,フロンティアポート,30人,https://www.fpcom.jp/,2004年,""
株式会社ソーシャルマーケティング,https://imitsu.jp/service/263292/,株式会社ソーシャルマーケティング,4人,https://social-marketing.jp/,2020年,30万～3000万
アクシスイノベーション株式会社,https://imitsu.jp/service/99177/,アクシスイノベーション株式会社,30人,https://www.innov-axis.jp/,2012年,"1,000,000円~"
ハンズラボ株式会社,https://imitsu.jp/service/246484/,ハンズラボ,50人,https://www.hands-lab.com/,2013年,100万円〜
ゼータ株式会社,https://imitsu.jp/service/328069/,ゼータ株式会社,27人,https://www.zeta-inc.co.jp/,5年,"【Webシステム開発】
・画面数30個程度（フロントVue.js；バックエンドJava/Python/Go）
・クラウドベース(AWS)
いずれも190万円～"
株式会社亜細亜情報システム,https://imitsu.jp/service/134890/,株式会社亜細亜情報システム,158人,https://www.ais-info.co.jp/,2004年,300万～
株式会社HACHIX,https://imitsu.jp/service/329603/,システム受託開発,10人,https://www.hachi-x.com/python,4年,100万円~
ケイ・エス・シー有限会社,https://imitsu.jp/service/322971/,ケイ・エス・シー有限会社,15人,http://www.kscenter.co.jp/,1989年,"1,500,000～"
株式会社CHEAT,https://imitsu.jp/service/157574/,業務システム開発/WEBサービス開発,5人,https://cheat.co.jp,2018年,500000～
株式会社ウィジェット,https://imitsu.jp/service/418155/,ウィジェット,43人,https://www.widget.co.jp/,2015年,要問い合わせ
iRuuza株式会社,https://imitsu.jp/service/351099/,Webシステム開発,10人,https://iruuza-inc.com/,2018年,お客様のご要望をお伺いのうえ、ご提案差し上げます。
株式会社ハイペリオン,https://imitsu.jp/service/244195/,株式会社ハイペリオン,100人,https://www.hyperion.co.jp/services/consulting-it.html,2006年,""
株式会社BearsSystem,https://imitsu.jp/service/227385/,Bears System,6人,https://bears-sys.com,2020年,依頼により変動
株式会社ID Cruise,https://imitsu.jp/service/228298/,ID Cruise,5人,http://www.id-cruise.co.jp/,2017年,100万～
楽らクラウド株式会社,https://imitsu.jp/service/351143/,楽らクラウド株式会社,15人,https://racloud.co.jp/,2018年,""
株式会社デザインワン・ジャパン,https://imitsu.jp/service/229276/,株式会社デザインワン・ジャパン,96人,https://www.designone.jp,2005年,""
アルサーガパートナーズ株式会社,https://imitsu.jp/service/225783/,アルサーガパートナーズ,120人,https://www.arsaga.jp/,2016年,""
合同会社comsica,https://imitsu.jp/service/249360/,合同会社comsica,1人,https://comsica.com,2020年,30〜300万円ほど
株式会社 E FACTORY GUYS,https://imitsu.jp/service/229108/,E FACTORY GUYS（イー・ファクトリー・ガイズ）,8人,https://efactoryguys.com/,2018年,""
